start_ver,end_ver,distance,lambda,original_num,original_days,num,days,P_w,l_w,e_w,matching_probability,aver_final_distance,aver_shared_distance,P_w_err,l_w_err,e_w_err,P_w_err_ratio,e_w_err_ratio,l_w_err_ratio
311,9,1493.34097,0.011176471,228,39,118,37,0.964194604,1545.578359,1365.402325,0.955405405,1536.794216,1336.484658,0.008789198,8.784142493,28.91766702,0.009199444,0.021637111,0.005715887
107,609,2446.38338,0.010490196,214,39,101,35,0.689411759,2814.554168,929.8399694,0.692222222,2830.222632,959.9849187,0.002810463,15.66846393,30.14494932,0.004060059,0.031401482,0.005536124
310,27,5218.210651,0.021029412,429,39,210,39,0.856280235,5642.263808,2707.290188,0.878283753,5656.661836,2921.406661,0.022003518,14.39802819,214.1164737,0.025052858,0.073292252,0.002545322
367,243,4959.885161,0.002794118,57,29,29,21,0.892285712,5451.566708,2460.620693,0.976190476,5343.726905,3310.139762,0.083904765,107.8398035,849.519069,0.085951222,0.25664145,0.020180635
473,224,5296.96152,0.015735294,321,39,154,37,0.918625054,5726.728446,2726.047487,0.940958816,5756.467276,3154.154441,0.022333762,29.73882964,428.1069539,0.023735111,0.135727962,0.00516616
471,354,4875.334239,0.001519608,31,22,15,13,0.944989672,5267.159247,1907.057315,0.961538462,5094.094615,2513.498462,0.01654879,173.0646321,606.4411463,0.017210741,0.241273729,0.03397358
311,95,3504.576386,0.005637255,115,39,57,29,0.913228602,3878.564278,2180.101447,0.988505747,3921.895138,2403.792931,0.075277145,43.33085968,223.6914843,0.07615246,0.093057718,0.011048449
10,84,4089.730585,0.003921569,80,34,33,22,0.91555451,4570.06227,2328.530157,0.931818182,4401.231061,2497.624924,0.016263672,168.8312095,169.094767,0.017453697,0.067702226,0.038359997
80,613,1926.078371,0.015735294,321,39,164,38,0.84033095,2152.22767,1257.0602,0.959649123,2181.344163,1498.653788,0.119318173,29.11649295,241.5935875,0.124335208,0.161207071,0.013347959
582,558,4197.190104,0.007843137,160,38,69,32,0.862336076,4648.713804,2259.394233,0.947916667,4760.967135,2705.087474,0.08558059,112.2533315,445.6932411,0.090282821,0.16476112,0.023577842
224,655,5300.911726,0.010637255,217,39,103,37,0.83940256,5568.303861,2255.018847,0.890990991,5622.143793,2446.720986,0.051588431,53.83993209,191.7021392,0.057900059,0.078350633,0.009576406
535,230,1863.723968,0.00627451,128,34,75,32,0.949973625,1997.23164,1379.472143,0.984375,1960.300167,1464.831911,0.034401375,36.93147307,85.35976822,0.034947428,0.058272739,0.018839703
26,23,1235.351372,0.001666667,34,22,18,12,0.309014578,1368.288935,358.0506188,0.513888889,1676.055556,556.2940278,0.204874311,307.7666208,198.243409,0.398674335,0.356364439,0.183625549
26,250,5547.140662,0.002107843,43,24,23,18,0.817766223,6001.737408,2044.105691,0.944444444,5928.818611,2072.311389,0.126678221,72.91879712,28.20569798,0.134129882,0.013610743,0.012299043
171,204,960.679198,0.001666667,34,24,21,17,0.2973066,963.2623756,285.5756675,0.485294118,960.68,466.2123529,0.187987518,2.582375585,180.6366854,0.387368218,0.387455811,0.002688071
471,32,3255.65085,0.004901961,100,39,51,27,0.671252239,3549.613748,1328.638863,0.849382716,3694.887031,2017.085475,0.178130477,145.2732831,688.4466125,0.209717568,0.341307605,0.039317382
394,367,3357.351278,0.005735294,117,37,53,30,0.842526037,3767.967587,1491.998069,0.880555556,3755.740311,1546.868239,0.038029519,12.22727558,54.87017038,0.043188097,0.03547178,0.003255623
27,230,4837.10727,0.048235294,984,39,465,39,0.996168375,4961.326864,3999.728839,1,4972.828632,4090.500671,0.003831625,11.50176785,90.77183185,0.003831625,0.022190885,0.002312923
27,502,2980.76621,0.009754902,199,39,101,38,0.788171754,3199.899786,1907.973303,0.723903509,3186.088086,1808.57827,0.064268245,13.81170027,99.39503294,0.088780126,0.054957551,0.004335003
48,219,6018.404072,0.001911765,39,22,13,11,0.968460555,6438.576956,3056.682037,1,6359.964848,2735.052424,0.031539445,78.61210724,321.6296126,0.031539445,0.11759541,0.012360463
27,170,1619.90773,0.021813725,445,39,235,38,0.806954616,1693.086555,1171.549495,0.890545809,1701.428492,1236.976774,0.083591193,8.341936599,65.42727898,0.093865124,0.052892892,0.004902902
4,404,3302.245879,0.0025,51,31,28,19,0.195304134,3410.543841,361.4875015,0.578947368,3438.655,1408.143684,0.383643234,28.11115937,1046.656183,0.662656496,0.743287915,0.008175045
514,532,4261.357012,0.001470588,30,22,14,11,0.824557516,4565.403924,1756.754306,1,4690.282727,2894.060152,0.175442484,124.8788031,1137.305846,0.175442484,0.392979339,0.026625005
230,224,2363.51193,0.014803922,302,39,157,38,0.919007204,2680.067976,1910.205742,0.91505848,2698.390682,1874.717361,0.003948725,18.32270599,35.48838138,0.00431527,0.01892999,0.006790235
313,689,2844.295823,0.011323529,231,39,117,38,0.937402888,3298.371754,2062.354696,0.996710526,3347.772421,2272.966694,0.059307638,49.40066655,210.611998,0.059503373,0.092659518,0.01475628
354,310,2036.136269,0.011078431,226,39,112,37,0.991266813,2142.537174,1624.941166,1,2146.602683,1644.916248,0.008733187,4.065508849,19.97508255,0.008733187,0.012143526,0.001893927
105,498,6308.543881,0.012205882,249,39,113,36,0.903572249,6858.70703,3556.363242,0.924272487,6931.559918,3672.974538,0.020700238,72.85288751,116.6112957,0.02239625,0.031748463,0.010510316
160,219,4059.828975,0.001029412,21,18,11,10,0.991753663,4297.869475,1527.150979,1,4213.7845,1626.8445,0.008246337,84.08497484,99.6935211,0.008246337,0.061280301,0.01995474
27,95,5603.366521,0.028382353,579,39,296,39,0.970690575,5948.387001,3699.143543,0.964844415,5951.963411,3665.352845,0.00584616,3.576410503,33.79069865,0.006059174,0.009218948,0.000600879
243,130,4422.203269,0.001078431,22,17,10,9,0.735640367,4887.660962,1640.175579,0.888888889,4910.517222,1796.662778,0.153248522,22.8562604,156.4871985,0.172404587,0.087098815,0.004654553
663,224,1734.811635,0.011519608,235,39,110,35,0.830952289,1907.313306,1306.883942,0.864285714,1892.969424,1394.09889,0.033333426,14.34388189,87.21494813,0.0385676,0.062560087,0.00757745
14,68,2795.315948,0.001911765,39,23,16,13,0.885050262,3110.706247,1283.443666,1,2948.728846,2122.339487,0.114949738,161.9774009,838.8958208,0.114949738,0.395269384,0.054931263
335,588,3116.515005,0.014117647,288,39,142,38,0.998775413,3479.32794,2338.82819,1,3431.534462,2430.349459,0.001224587,47.79347801,91.52126902,0.001224587,0.037657658,0.013927728
582,97,3017.272626,0.00627451,128,38,67,34,0.978415103,3384.54998,2241.373237,1,3397.586142,2414.506113,0.021584897,13.03616261,173.1328761,0.021584897,0.071705296,0.00383689
348,471,3125.877738,0.007058824,144,38,79,36,0.989187304,3427.355648,2216.140543,1,3294.80689,2533.9519,0.010812696,132.5487575,317.8113569,0.010812696,0.125421227,0.040229598
31,33,2682.337823,0.002401961,49,26,22,15,0.634651511,3029.787282,1166.413061,0.877777778,3209.332556,1422.756333,0.243126267,179.5452738,256.3432723,0.276979292,0.1801737,0.055944739
535,379,802.4438656,0.009705882,198,39,102,36,0.853338766,869.3120129,700.7501072,0.939814815,896.5565972,791.5948148,0.086476049,27.24458434,90.84470758,0.092013924,0.114761625,0.030388025
380,414,2927.02955,0.004705882,96,34,48,25,0.655149516,3284.165837,1106.177366,0.833333333,3506.627067,1392.106867,0.178183817,222.4612294,285.9295009,0.213820581,0.205393356,0.063440231
582,207,4743.632286,0.001911765,39,23,20,15,0.934198546,5193.814651,2671.786232,1,5374.933778,3403.286778,0.065801454,181.1191264,731.5005462,0.065801454,0.214939438,0.033696997
230,471,2736.244495,0.01122549,229,39,112,38,0.972114634,2970.537627,1800.277946,1,2918.598115,2056.331393,0.027885366,51.93951199,256.0534477,0.027885366,0.124519544,0.017796048
230,562,5580.00477,0.005588235,114,36,60,31,0.979581208,6247.689308,2538.706018,0.989247312,6089.458978,2837.511398,0.009666103,158.2303293,298.8053794,0.00977117,0.105305438,0.0259843
314,354,3264.415899,0.016666667,340,39,161,39,0.965065913,3833.461666,2013.44042,0.98525641,3792.642465,2080.660003,0.020190497,40.81920021,67.21958273,0.020492632,0.032306856,0.010762734
517,473,3681.743273,0.003578431,73,30,35,21,0.765714189,4071.609321,1706.58566,0.793650794,4007.422619,1822.947381,0.027936605,64.18670197,116.3617209,0.035200122,0.06383164,0.016016954
588,141,4923.020219,0.003137255,64,33,33,23,0.969352873,5381.040254,3019.762824,0.945652174,5458.493152,3369.266739,0.023700699,77.45289808,349.5039148,0.025062808,0.103732931,0.014189428
32,196,3199.56333,0.003284314,67,30,33,21,0.841261652,3608.67056,1245.716098,0.833333333,3781.735794,1188.49754,0.007928319,173.0652333,57.21855798,0.009513982,0.048143607,0.045763438
314,596,6267.079709,0.009117647,186,38,105,37,0.944687268,6939.794771,2882.820561,0.959459459,6950.2411,3509.725421,0.014772191,10.44632923,626.9048605,0.015396368,0.178619346,0.001503017
479,141,5475.969959,0.001421569,29,20,15,13,0.982796297,5964.203053,2995.247907,1,6054.166154,3425.942692,0.017203703,89.9631009,430.6947851,0.017203703,0.1257157,0.014859701
32,302,3368.314905,0.006029412,123,38,60,32,0.782485752,3572.934781,2077.139446,0.8125,3614.351276,2249.55125,0.030014248,41.41649505,172.4118042,0.036940613,0.076642755,0.011458901
68,32,2832.782385,0.021470588,438,39,224,39,0.808036465,3136.566136,1894.688086,0.892246642,3088.423274,2104.593535,0.084210178,48.14286197,209.9054489,0.094379932,0.099736812,0.015588168
50,224,4507.075637,0.001568627,32,18,17,12,0.95174615,4915.157451,2905.550976,1,4853.822083,2925.704167,0.04825385,61.33536811,20.1531908,0.04825385,0.006888321,0.012636509
68,195,3783.312332,0.001813725,37,26,16,13,0.549400105,3986.483121,1089.675335,0.884615385,4219.643846,2296.708462,0.335215279,233.1607248,1207.033127,0.378939011,0.525549127,0.05525602
68,33,1696.662317,0.012009804,245,39,122,36,0.880400864,1770.564938,1460.113058,0.970568783,1785.367497,1642.435671,0.090167919,14.80255873,182.3226138,0.092902142,0.111007461,0.008291043
313,230,1702.961846,0.010098039,206,39,103,36,0.996759795,1865.739392,1458.74999,1,1855.715035,1475.774263,0.003240205,10.02435704,17.02427247,0.003240205,0.011535824,0.005401884
348,105,7044.797045,0.007843137,160,39,86,34,0.939661034,7593.352275,3339.135636,0.900980392,7528.27823,3932.17876,0.038680642,65.07404474,593.0431237,0.042931724,0.150817946,0.008643948
32,463,2838.840116,0.005980392,122,35,55,25,0.725776874,3058.063102,1547.842687,0.902666667,3128.936467,2028.43964,0.176889792,70.87336467,480.5969527,0.195963581,0.236929383,0.022650944
80,522,2348.24881,0.010931373,223,39,110,38,0.872696916,2785.033766,1733.187149,0.961403509,2766.28239,2041.427215,0.088706593,18.75137556,308.2400658,0.092267807,0.150992435,0.006778547
236,84,1877.614992,0.00872549,178,39,85,36,0.565714595,2055.820917,798.5292437,0.641600529,2063.350708,959.5377778,0.075885934,7.529790941,161.0085341,0.118275985,0.167798015,0.003649303
25,164,2007.62305,0.001470588,30,19,15,9,0.229244193,2056.085921,391.1702274,0.37037037,2013.545926,407.9781481,0.141126178,42.53999545,16.8079207,0.38104068,0.041198091,0.021126906
130,380,4496.827338,0.00877451,179,39,95,34,0.921183609,4817.157611,2272.117116,0.892156863,4741.250686,2305.408554,0.029026746,75.90692458,33.2914384,0.032535474,0.014440581,0.016009895
10,33,3001.188139,0.007058824,144,38,68,31,0.850284715,3360.736642,1997.856627,0.946236559,3411.753065,2394.570957,0.095951844,51.01642273,396.7143304,0.101403653,0.165672405,0.01495314
596,16,4651.611064,0.005686275,116,37,52,27,0.669649823,4994.871011,1873.275675,0.747530864,5015.905173,1911.062173,0.077881041,21.03416159,37.78649776,0.104184382,0.019772511,0.004193493
313,68,4157.425011,0.01004902,205,39,118,39,0.87041548,4663.901045,2069.719105,0.871794872,4644.407299,1831.466291,0.001379392,19.49374584,238.2528145,0.001582244,0.130088561,0.004197252
