id,start_ver,end_ver,num,days,lambda,total_num,CDF
2746,145,582,70,30,0.003431373,548089,0.618191969
4605,11,655,69,30,0.003382353,548158,0.618269795
3989,588,236,69,30,0.003382353,548227,0.61834762
4160,3,663,69,30,0.003382353,548296,0.618425446
2165,131,80,68,30,0.003333333,548364,0.618502143
2897,15,224,68,30,0.003333333,548432,0.618578841
2330,397,9,68,30,0.003333333,548500,0.618655538
1554,689,27,68,30,0.003333333,548568,0.618732236
2273,331,404,68,30,0.003333333,548636,0.618808933
4777,414,310,68,30,0.003333333,548704,0.61888563
3144,105,20,68,30,0.003333333,548772,0.618962328
3740,588,596,68,30,0.003333333,548840,0.619039025
4737,14,131,68,30,0.003333333,548908,0.619115723
2451,6,334,68,30,0.003333333,548976,0.61919242
3223,33,638,67,30,0.003284314,549043,0.61926799
2992,84,414,67,30,0.003284314,549110,0.61934356
1710,123,397,67,30,0.003284314,549177,0.619419129
3409,380,295,67,30,0.003284314,549244,0.619494699
2186,32,196,67,30,0.003284314,549311,0.619570268
4318,354,398,67,30,0.003284314,549378,0.619645838
4185,443,501,67,30,0.003284314,549445,0.619721408
4389,236,15,67,30,0.003284314,549512,0.619796977
4669,145,15,66,30,0.003235294,549578,0.619871419
3775,295,10,66,30,0.003235294,549644,0.619945861
3191,331,242,66,30,0.003235294,549710,0.620020302
2950,532,367,66,30,0.003235294,549776,0.620094744
3267,9,427,66,30,0.003235294,549842,0.620169186
2695,655,224,66,30,0.003235294,549908,0.620243627
3015,558,353,66,30,0.003235294,549974,0.620318069
4478,502,16,66,30,0.003235294,550040,0.620392511
4479,131,15,66,30,0.003235294,550106,0.620466952
4774,68,427,66,30,0.003235294,550172,0.620541394
2969,123,394,66,30,0.003235294,550238,0.620615836
4656,596,414,66,30,0.003235294,550304,0.620690277
5969,348,243,66,30,0.003235294,550370,0.620764719
3719,379,609,65,30,0.003186275,550435,0.620838033
2985,310,394,65,30,0.003186275,550500,0.620911347
5299,522,348,65,30,0.003186275,550565,0.620984661
4035,48,353,65,30,0.003186275,550630,0.621057974
3421,193,6,65,30,0.003186275,550695,0.621131288
2393,56,80,65,30,0.003186275,550760,0.621204602
2328,280,84,65,30,0.003186275,550825,0.621277916
2921,532,331,65,30,0.003186275,550890,0.621351229
3595,393,443,65,30,0.003186275,550955,0.621424543
5486,348,498,64,30,0.003137255,551019,0.621496729
3894,354,131,64,30,0.003137255,551083,0.621568915
4224,582,544,64,30,0.003137255,551147,0.621641101
2648,379,11,64,30,0.003137255,551211,0.621713287
3091,16,33,64,30,0.003137255,551275,0.621785473
1471,9,723,64,30,0.003137255,551339,0.621857658
3233,32,508,64,30,0.003137255,551403,0.621929844
2965,30,6,64,30,0.003137255,551467,0.62200203
2389,397,379,64,30,0.003137255,551531,0.622074216
2916,32,11,64,30,0.003137255,551595,0.622146402
3921,522,295,63,30,0.003088235,551658,0.62221746
3150,131,335,63,30,0.003088235,551721,0.622288518
2026,32,638,63,30,0.003088235,551784,0.622359576
3425,588,145,63,30,0.003088235,551847,0.622430634
5562,68,497,63,30,0.003088235,551910,0.622501692
3952,33,95,63,30,0.003088235,551973,0.62257275
