id,pair_id,class,description,block,length,head_ver,tail_ver,polyline
1670,1669.0,1,二级route 310's segment,[17],698.346237399228,174,619,"[[110.28199060000004, 19.976246265253447], [110.28199060000004, 19.976414400000078], [110.28211670000003, 19.977675500000043], [110.28220280000006, 19.978785000000027], [110.28223440000006, 19.979192200000067], [110.28229030000007, 19.979983400000048], [110.28236750000003, 19.98089170000004], [110.28245610000006, 19.982173400000033], [110.28244510000003, 19.982437000000072], [110.28240140266094, 19.982496770851988]]"
1671,1672.0,1,二级route 311's segment,[16],134.16659700149722,706,623,"[[110.26817060000003, 19.985555600000065], [110.26765140000005, 19.98577640000003], [110.26753130000004, 19.985878800000034], [110.26738940000008, 19.986050000000045], [110.26723890000007, 19.98631640000003]]"
1672,1671.0,1,二级route 311's segment,[16],134.16659700149722,623,706,"[[110.26723890000007, 19.98631640000003], [110.26738940000008, 19.986050000000045], [110.26753130000004, 19.985878800000034], [110.26765140000005, 19.98577640000003], [110.26817060000003, 19.985555600000065]]"
1673,1674.0,1,二级route 311's segment,[16],35.964818735258326,623,180,"[[110.26723890000007, 19.98631640000003], [110.26723890000007, 19.98631640000003], [110.26690174261807, 19.986251454565473]]"
1674,1673.0,1,二级route 311's segment,[16],35.964818735258326,180,623,"[[110.26690174261807, 19.986251454565473], [110.26723890000007, 19.98631640000003], [110.26723890000007, 19.98631640000003]]"
1675,1676.0,1,二级route 312's segment,[18],409.77191456610336,710,687,"[[110.33875, 19.984687], [110.33731510000008, 19.982839700000067], [110.33698800000003, 19.981862000000046], [110.33689560000006, 19.981499100000075]]"
1676,1675.0,1,二级route 312's segment,[18],409.77191456610336,687,710,"[[110.33689560000006, 19.981499100000075], [110.33698800000003, 19.981862000000046], [110.33731510000008, 19.982839700000067], [110.33875, 19.984687]]"
1677,1678.0,1,二级route 313's segment,[13],85.68494174163256,218,675,"[[110.33959340000008, 20.005608580768484], [110.33959340000008, 20.005599500000027], [110.33962820000006, 20.00483870000006]]"
1678,1677.0,1,二级route 313's segment,[13],85.68494174163256,675,218,"[[110.33962820000006, 20.00483870000006], [110.33959340000008, 20.005599500000027], [110.33959340000008, 20.005608580768484]]"
1679,1680.0,1,二级route 313's segment,[13],922.4465662766314,675,673,"[[110.33962820000006, 20.00483870000006], [110.33962820000006, 20.00483870000006], [110.33969260000005, 20.00454940000004], [110.33976240000005, 20.003954600000053], [110.33983750000006, 20.003032100000052], [110.33915620000006, 20.002825400000074], [110.33829790000006, 20.002850600000055], [110.33824960000005, 20.002825400000074], [110.33792230000007, 20.001797000000078], [110.33754150000006, 20.00081400000006], [110.33720890000008, 20.00007800000004], [110.33699430000003, 19.999523500000077], [110.33686020000006, 19.99941770000005], [110.33651680000004, 19.999276500000075], [110.33637200000005, 19.99918070000008], [110.33609710000003, 19.999084900000025], [110.33609840000004, 19.999079900000037], [110.3356, 19.999021]]"
1680,1679.0,1,二级route 313's segment,[13],922.4465662766314,673,675,"[[110.3356, 19.999021], [110.33609840000004, 19.999079900000037], [110.33609710000003, 19.999084900000025], [110.33637200000005, 19.99918070000008], [110.33651680000004, 19.999276500000075], [110.33686020000006, 19.99941770000005], [110.33699430000003, 19.999523500000077], [110.33720890000008, 20.00007800000004], [110.33754150000006, 20.00081400000006], [110.33792230000007, 20.001797000000078], [110.33824960000005, 20.002825400000074], [110.33829790000006, 20.002850600000055], [110.33915620000006, 20.002825400000074], [110.33983750000006, 20.003032100000052], [110.33976240000005, 20.003954600000053], [110.33969260000005, 20.00454940000004], [110.33962820000006, 20.00483870000006], [110.33962820000006, 20.00483870000006]]"
1681,1682.0,1,二级route 314's segment,[4],5.513240468512201,711,482,"[[110.33098270000006, 20.03309820000005], [110.33101660000007, 20.033060200000033]]"
1682,1681.0,1,二级route 314's segment,[4],5.513240468512201,482,711,"[[110.33101660000007, 20.033060200000033], [110.33098270000006, 20.03309820000005]]"
1683,1684.0,1,二级route 314's segment,[4],116.38293691639466,482,418,"[[110.33101660000007, 20.033060200000033], [110.33101660000007, 20.033060200000033], [110.33192060000006, 20.03367190000007]]"
1684,1683.0,1,二级route 314's segment,[4],116.38293691639466,418,482,"[[110.33192060000006, 20.03367190000007], [110.33101660000007, 20.033060200000033], [110.33101660000007, 20.033060200000033]]"
1685,1686.0,1,二级route 315's segment,[6],83.62639558907232,402,410,"[[110.36469550000005, 20.031242100000053], [110.36390280000008, 20.031137400000045]]"
1686,1685.0,1,二级route 315's segment,[6],83.62639558907232,410,402,"[[110.36390280000008, 20.031137400000045], [110.36469550000005, 20.031242100000053]]"
1687,1688.0,1,二级route 315's segment,[6],243.4257035548515,410,250,"[[110.36390280000008, 20.031137400000045], [110.36390280000008, 20.031137400000045], [110.36379440000003, 20.03112310000007], [110.36379440000003, 20.03112310000007], [110.36338990000003, 20.031082300000048], [110.36337200000004, 20.031080100000064], [110.36178450000007, 20.030875000000048], [110.36167010000004, 20.030860500000028], [110.36159218085105, 20.030860500000028]]"
1688,1687.0,1,二级route 315's segment,[6],243.4257035548515,250,410,"[[110.36159218085105, 20.030860500000028], [110.36167010000004, 20.030860500000028], [110.36178450000007, 20.030875000000048], [110.36337200000004, 20.031080100000064], [110.36338990000003, 20.031082300000048], [110.36379440000003, 20.03112310000007], [110.36379440000003, 20.03112310000007], [110.36390280000008, 20.031137400000045], [110.36390280000008, 20.031137400000045]]"
1689,1690.0,1,二级route 316's segment,[4],470.9717099962634,712,310,"[[110.33400640000004, 20.030971200000078], [110.33420070000007, 20.03076390000008], [110.33444690000006, 20.030365000000028], [110.33488510000008, 20.029380400000047], [110.33552880000003, 20.029304000000035], [110.33560560000008, 20.02926370000007], [110.33610020000005, 20.02825790000004], [110.33643980000006, 20.02771370000006]]"
1690,1689.0,1,二级route 316's segment,[4],470.9717099962634,310,712,"[[110.33643980000006, 20.02771370000006], [110.33610020000005, 20.02825790000004], [110.33560560000008, 20.02926370000007], [110.33552880000003, 20.029304000000035], [110.33488510000008, 20.029380400000047], [110.33444690000006, 20.030365000000028], [110.33420070000007, 20.03076390000008], [110.33400640000004, 20.030971200000078]]"
